"Issue Type","Summary","Test Case ID","Module","Feature","Priority","Severity","Preconditions","Test Steps","Test Data","Expected Result","Actual Result","Status","Labels"
"Test","TC-CPROF-025 - Verify PIN","TC-CPROF-025","Profile","Verify PIN","High","Critical","Đã có PIN","POST /verify-pin đúng","`{pin:""123456""}`","200 true; reset `pin_failed_attempts=0`","","","Profile"
"Test","TC-CPROF-026 - Verify PIN","TC-CPROF-026","Profile","Verify PIN","High","High","Chưa thiết lập PIN","POST /verify-pin","`{pin}`","400 ""Chưa thiết lập mã PIN""","","","Profile"
"Test","TC-CPROF-027 - Verify PIN/lockout","TC-CPROF-027","Profile","Verify PIN/lockout","High","Critical","Đã có PIN","Nhập sai lần 1→4","pin sai","Mỗi lần 400 ""Mã PIN sai. Bạn còn N lần thử."" (còn 4,3,2,1)","","","Profile"
"Test","TC-CPROF-028 - Verify PIN/lockout","TC-CPROF-028","Profile","Verify PIN/lockout","High","Critical","Đã sai 4 lần","Nhập sai lần **5**","pin sai","403 ""Bạn đã nhập sai 5 lần... khóa 1 giờ""; set `pin_locked_until = +1h`","","","Profile"
"Test","TC-CPROF-029 - Verify PIN/lockout","TC-CPROF-029","Profile","Verify PIN/lockout","High","Critical","Đang bị khóa (<1h)","POST /verify-pin đúng PIN","đúng","403 ""Chức năng bị khóa..."" (chặn trước cả khi so khớp)","","","Profile"
"Test","TC-CPROF-030 - Verify PIN/lockout","TC-CPROF-030","Profile","Verify PIN/lockout","Medium","High","Đã qua 1 giờ khóa","POST /verify-pin đúng","đúng","200 true; cho thử lại sau khi hết khóa","","","Profile"
"Test","TC-CPROF-031 - Verify PIN/edge","TC-CPROF-031","Profile","Verify PIN/edge","Medium","High","Đã có PIN","6 request sai PIN **đồng thời**","song song","⚠️ASSUMED: không lock row → attempts có thể race, khóa không chính xác. Đề xuất SELECT FOR UPDATE. Ghi nhận bug tiềm ẩn","","","Profile"
"Test","TC-CPROF-032 - Verify PIN","TC-CPROF-032","Profile","Verify PIN","Medium","Medium","—","POST /verify-pin thiếu pin","`{}`","400 (schema length 6 fail / ""Vui lòng nhập mã PIN"")","","","Profile"
"Test","TC-CPROF-033 - Add points","TC-CPROF-033","Profile","Add points","High","High","verified, rank normal, points 0","POST /add-points 5.000.000","`{points:5000000}`","200; points=5.000.000, rank vẫn normal","","","Profile"
"Test","TC-CPROF-034 - Rank/boundary","TC-CPROF-034","Profile","Rank/boundary","High","High","normal, points 9.999.999","add 1 (đạt 10.000.000)","`{points:1}`","Lên **silver**, points reset **0**, rank_expired_at = +1 năm","","","Profile"
"Test","TC-CPROF-035 - Rank/boundary","TC-CPROF-035","Profile","Rank/boundary","High","High","normal, points 9.999.998","add 1 (=9.999.999, min-1)","`{points:1}`","Vẫn normal (chưa đạt ngưỡng)","","","Profile"
"Test","TC-CPROF-036 - Rank/skip","TC-CPROF-036","Profile","Rank/skip","Medium","High","normal, points 0","add 80.000.000 (vượt thẳng)","`{points:80000000}`","Lên thẳng **platinum**, reset điểm","","","Profile"
"Test","TC-CPROF-037 - Rank/expire","TC-CPROF-037","Profile","Rank/expire","High","High","silver, rank_expired_at quá hạn, points < 10tr","add 0 hoặc bất kỳ","trigger recompute","Rớt về normal, points reset 0, rank_expired_at null","","","Profile"
"Test","TC-CPROF-038 - Rank/expire-keep","TC-CPROF-038","Profile","Rank/expire-keep","Medium","High","gold, hết hạn, points ≥ 30tr (tích lũy)","add points","trigger","Giữ gold, reset điểm, gia hạn +1 năm","","","Profile"
"Test","TC-CPROF-039 - Add points/validation","TC-CPROF-039","Profile","Add points/validation","High","High","verified","points = 0","`{points:0}`","400 ""Số điểm phải là số nguyên dương""","","","Profile"
"Test","TC-CPROF-040 - Add points/validation","TC-CPROF-040","Profile","Add points/validation","High","High","verified","points = -100","`{points:-100}`","400 (positive)","","","Profile"
"Test","TC-CPROF-041 - Add points/validation","TC-CPROF-041","Profile","Add points/validation","Medium","Medium","verified","points = 1.5","`{points:1.5}`","400 (int)","","","Profile"
"Test","TC-CPROF-042 - Add points/validation","TC-CPROF-042","Profile","Add points/validation","Medium","Medium","verified","points = ""abc""","`{points:""abc""}`","400 (coerce fail)","","","Profile"
"Test","TC-CPROF-043 - Add points/permission","TC-CPROF-043","Profile","Add points/permission","High","Critical","verified customer","POST /add-points bởi chính customer","Bearer","⚠️RỦI RO: customer tự cộng điểm cho mình?! Nếu endpoint mở cho customer → lỗ hổng nghiêm trọng. Xác nhận ai được gọi, đề xuất chỉ admin/hệ thống","","","Profile"
"Test","TC-CPROF-044 - Add points/concurrency","TC-CPROF-044","Profile","Add points/concurrency","High","High","verified","2 request add-points **đồng thời**","song song","`lockCustomer` (FOR UPDATE) đảm bảo cộng dồn đúng, không mất update","","","Profile"
"Test","TC-CPROF-045 - Add points/rollback","TC-CPROF-045","Profile","Add points/rollback","Medium","High","DB lỗi giữa TX","Mô phỏng lỗi sau lockCustomer","—","ROLLBACK; điểm/hạng không đổi","","","Profile"
"Test","TC-CPROF-046 - Add points/boundary","TC-CPROF-046","Profile","Add points/boundary","Medium","Medium","verified","points cực lớn (2^53)","như bên","Không overflow/500; xử lý đúng kiểu số","","","Profile"
"Test","TC-CPROF-047 - Transactions","TC-CPROF-047","Profile","Transactions","High","High","Đã verify PIN gần đây","GET /transactions","Bearer + PIN context","200, trả lịch sử giao dịch ví của chính customer","","","Profile"
"Test","TC-CPROF-048 - Transactions/permission","TC-CPROF-048","Profile","Transactions/permission","High","High","Chưa xác thực PIN","GET /transactions","Bearer","403 (requirePaymentPin chặn)","","","Profile"
"Test","TC-CPROF-049 - Transactions","TC-CPROF-049","Profile","Transactions","Low","Low","Không có giao dịch","GET /transactions","Bearer","200, mảng rỗng (empty state)","","","Profile"
"Test","TC-CVOU-001 - List","TC-CVOU-001","Cust Voucher","List","High","High","Customer có voucher usable","GET /","Bearer","200, danh sách voucher gồm `redeem_code`, `discount_type`, `discount_value`, `min_order_amount`...","","","Cust-Voucher"
"Test","TC-CVOU-002 - List/permission","TC-CVOU-002","Cust Voucher","List/permission","High","High","Chưa đăng nhập","GET / không token","—","401","","","Cust-Voucher"
"Test","TC-CVOU-003 - List/permission","TC-CVOU-003","Cust Voucher","List/permission","High","High","Token customer A","GET /","A token","Chỉ trả voucher của A (customer_id từ token)","","","Cust-Voucher"
"Test","TC-CVOU-004 - Business/status","TC-CVOU-004","Cust Voucher","Business/status","High","High","Customer có voucher `status='used'`","GET /","Bearer","Voucher đã dùng **không** hiển thị","","","Cust-Voucher"
"Test","TC-CVOU-005 - Business/expired","TC-CVOU-005","Cust Voucher","Business/expired","High","High","Voucher template `end_date` đã qua","GET /","Bearer","Voucher hết hạn **không** hiển thị","","","Cust-Voucher"
"Test","TC-CVOU-006 - Business/not-started","TC-CVOU-006","Cust Voucher","Business/not-started","High","High","Voucher `start_date` trong tương lai","GET /","Bearer","Voucher chưa tới ngày **không** hiển thị","","","Cust-Voucher"
"Test","TC-CVOU-007 - Business/template-inactive","TC-CVOU-007","Cust Voucher","Business/template-inactive","Medium","High","`vt.status='inactive'`","GET /","Bearer","Không hiển thị (chỉ active)","","","Cust-Voucher"
"Test","TC-CVOU-008 - Business/sort","TC-CVOU-008","Cust Voucher","Business/sort","Low","Low","Nhiều voucher hạn khác nhau","GET /","Bearer","Sắp xếp theo `end_date ASC` (sắp hết hạn lên đầu)","","","Cust-Voucher"
"Test","TC-CVOU-009 - Boundary/date","TC-CVOU-009","Cust Voucher","Boundary/date","Medium","High","Voucher end_date = NOW (đúng biên)","GET /","Bearer","`BETWEEN` inclusive → vẫn hiển thị tại thời điểm bằng","","","Cust-Voucher"
"Test","TC-CVOU-010 - Empty state","TC-CVOU-010","Cust Voucher","Empty state","Low","Low","Không có voucher","GET /","Bearer","200, `vouchers: []`","","","Cust-Voucher"
"Test","TC-CVOU-011 - UI","TC-CVOU-011","Cust Voucher","UI","Low","Low","Có voucher","Mở VoucherModal / MyQr","—","Hiển thị redeem_code + QR đúng, responsive","","","Cust-Voucher"
"Test","TC-CVOU-012 - Security","TC-CVOU-012","Cust Voucher","Security","Medium","Medium","—","Kiểm tra response","—","Không lộ voucher của customer khác qua id đoán được","","","Cust-Voucher"
"Test","TC-CVOU-013 - Perf","TC-CVOU-013","Cust Voucher","Perf","Low","Medium","Customer có 1000 voucher","GET /","Bearer","⚠️ASSUMED: không phân trang → cân nhắc pagination. Response time chấp nhận được","","","Cust-Voucher"
"Test","TC-CRES-001 - Create","TC-CRES-001","Reservation","Create","High","Critical","verified, chi nhánh mở cửa","POST / không đặt món","`{branch_id,reservation_date,reservation_time,guest_count:4}`","201, phiếu PENDING, có reservation_code, chưa gán bàn","","","Reservation"
"Test","TC-CRES-002 - Create+preorder","TC-CRES-002","Reservation","Create+preorder","High","Critical","verified, có PIN, đủ số dư","POST / kèm items + pin","`{...,items:[{menu_item_id,quantity:2}],pin:""123456""}`","201, tạo order SCHEDULED, trừ cọc đúng","","","Reservation"
"Test","TC-CRES-003 - Create/phone-fallback","TC-CRES-003","Reservation","Create/phone-fallback","Medium","Medium","verified, hồ sơ có phone","POST / không nhập customer_phone","bỏ trống phone","Dùng phone từ hồ sơ","","","Reservation"
"Test","TC-CRES-004 - Create/phone-missing","TC-CRES-004","Reservation","Create/phone-missing","Medium","High","verified, hồ sơ **không** có phone","POST / không nhập phone","bỏ trống","400 ""Vui lòng cung cấp số điện thoại liên hệ""","","","Reservation"
"Test","TC-CRES-005 - Validation","TC-CRES-005","Reservation","Validation","High","High","verified","thiếu branch_id","bỏ branch_id","400 ""Vui lòng chọn chi nhánh""","","","Reservation"
"Test","TC-CRES-006 - Validation/date","TC-CRES-006","Reservation","Validation/date","High","High","verified","date `2026/07/20` (sai format)","như bên","400 ""Ngày không hợp lệ (YYYY-MM-DD)""","","","Reservation"
"Test","TC-CRES-007 - Validation/date","TC-CRES-007","Reservation","Validation/date","Medium","Medium","verified","date `2026-13-40` (đúng regex, sai ngày thật)","như bên","⚠️ASSUMED: regex pass; DB/logic phải từ chối ngày không tồn tại. Kiểm tra","","","Reservation"
"Test","TC-CRES-008 - Validation/date-past","TC-CRES-008","Reservation","Validation/date-past","High","High","verified","reservation_date hôm qua","quá khứ","⚠️ASSUMED: schema không chặn ngày quá khứ — đề xuất chặn. Ghi nhận (business rule cần đặt bàn tương lai)","","","Reservation"
"Test","TC-CRES-009 - Validation/time","TC-CRES-009","Reservation","Validation/time","High","High","verified","time `25:00`","như bên","400 ""Giờ không hợp lệ (HH:mm)""","","","Reservation"
"Test","TC-CRES-010 - Validation/time","TC-CRES-010","Reservation","Validation/time","Medium","Medium","verified","time `9:5` (thiếu 0)","như bên","400 (regex yêu cầu HH:mm)","","","Reservation"
"Test","TC-CRES-011 - Boundary/guest","TC-CRES-011","Reservation","Boundary/guest","High","High","verified","guest_count = 0","`guest_count:0`","400 ""Số khách phải > 0""","","","Reservation"
"Test","TC-CRES-012 - Boundary/guest","TC-CRES-012","Reservation","Boundary/guest","Medium","Medium","verified","guest_count = 1 (min)","`1`","201 OK","","","Reservation"
"Test","TC-CRES-013 - Boundary/guest","TC-CRES-013","Reservation","Boundary/guest","Medium","Medium","verified","guest_count = -5","`-5`","400","","","Reservation"
"Test","TC-CRES-014 - Boundary/guest","TC-CRES-014","Reservation","Boundary/guest","Medium","Medium","verified","guest_count = 99999","rất lớn","⚠️ASSUMED: không có max → đề xuất giới hạn hợp lý (sức chứa). Ghi nhận","","","Reservation"
"Test","TC-CRES-015 - Validation/item","TC-CRES-015","Reservation","Validation/item","Medium","High","verified","items có quantity 0","`quantity:0`","400 ""Số lượng phải > 0""","","","Reservation"
"Test","TC-CRES-016 - Validation/item","TC-CRES-016","Reservation","Validation/item","Medium","Medium","verified","menu_item_id âm","`-1`","400 (positive)","","","Reservation"
"Test","TC-CRES-017 - Branch","TC-CRES-017","Reservation","Branch","High","High","verified","branch_id không tồn tại/ngừng HĐ","id lạ","400 ""Chi nhánh không tồn tại hoặc ngừng hoạt động""","","","Reservation"
"Test","TC-CRES-018 - Open hours","TC-CRES-018","Reservation","Open hours","High","High","Chi nhánh mở 10:00–22:00","POST / time 09:00","trước giờ mở","400 ""Chi nhánh chỉ nhận khách từ 10:00 đến 22:00.""","","","Reservation"
"Test","TC-CRES-019 - Open hours/boundary","TC-CRES-019","Reservation","Open hours/boundary","Medium","Medium","mở 10:00–22:00","time đúng 10:00 (biên)","`10:00`","201 (inclusive `>=`)","","","Reservation"
"Test","TC-CRES-020 - Open hours/boundary","TC-CRES-020","Reservation","Open hours/boundary","Medium","Medium","mở 10:00–22:00","time đúng 22:00 (biên)","`22:00`","201 (inclusive `<=`)","","","Reservation"
"Test","TC-CRES-021 - Open hours/overnight","TC-CRES-021","Reservation","Open hours/overnight","Medium","Medium","Chi nhánh mở 18:00–02:00 (qua đêm)","time 01:00","`01:00`","201 (logic `t>=open OR t<=close`)","","","Reservation"
"Test","TC-CRES-022 - Open hours/overnight","TC-CRES-022","Reservation","Open hours/overnight","Medium","Medium","mở 18:00–02:00","time 10:00 (ngoài khung)","`10:00`","400 ngoài giờ","","","Reservation"
"Test","TC-CRES-023 - Open hours/no-config","TC-CRES-023","Reservation","Open hours/no-config","Low","Low","Chi nhánh không cấu hình giờ","time bất kỳ","—","Bỏ qua kiểm tra giờ, tạo phiếu OK","","","Reservation"
"Test","TC-CRES-024 - Deposit/atomicity","TC-CRES-024","Reservation","Deposit/atomicity","High","Critical","verified, có PIN, **số dư không đủ**","POST / kèm items","cọc > số dư","Toàn bộ rollback: cleanup phiếu + order, không tạo phiếu rác; báo lỗi thiếu số dư","","","Reservation"
"Test","TC-CRES-025 - Deposit/pin","TC-CRES-025","Reservation","Deposit/pin","High","Critical","verified, có items cần cọc, **sai PIN**","POST /","pin sai","Cleanup phiếu + order; báo sai PIN","","","Reservation"
"Test","TC-CRES-026 - Deposit/no-pin","TC-CRES-026","Reservation","Deposit/no-pin","High","High","verified, items cần cọc, **thiếu pin**","POST / không pin","items có cọc","Cleanup + lỗi yêu cầu PIN","","","Reservation"
"Test","TC-CRES-027 - Deposit/zero","TC-CRES-027","Reservation","Deposit/zero","Medium","Medium","verified, items có cọc = 0 (computeDeposit=0)","POST /","—","Tạo phiếu + order SCHEDULED, không trừ ví","","","Reservation"
"Test","TC-CRES-028 - Edge/double-submit","TC-CRES-028","Reservation","Edge/double-submit","High","High","verified","Double-click Đặt bàn","2 request nhanh","⚠️ASSUMED: không idempotency key → có thể tạo 2 phiếu. Đề xuất chặn. Ghi nhận","","","Reservation"
"Test","TC-CRES-029 - List","TC-CRES-029","Reservation","List","High","High","verified, có phiếu","GET /","Bearer","200, danh sách phiếu của chính customer kèm preorder items","","","Reservation"
"Test","TC-CRES-030 - List/permission","TC-CRES-030","Reservation","List/permission","High","High","Token A","GET /","A","Chỉ phiếu của A (listByCustomer)","","","Reservation"
"Test","TC-CRES-031 - Get","TC-CRES-031","Reservation","Get","High","High","Phiếu thuộc customer","GET /:id","Bearer","200 chi tiết + preorder","","","Reservation"
"Test","TC-CRES-032 - Get/IDOR","TC-CRES-032","Reservation","Get/IDOR","High","Critical","Phiếu của customer B","GET /:id (id của B)","A token","404 ""Không tìm thấy phiếu đặt bàn"" (findByIdForCustomer lọc theo customerId)","","","Reservation"
"Test","TC-CRES-033 - Get/404","TC-CRES-033","Reservation","Get/404","Medium","Medium","id không tồn tại","GET /:id","id lạ","404","","","Reservation"
"Test","TC-CRES-034 - Get/type","TC-CRES-034","Reservation","Get/type","Medium","Low","—","GET /:id = `abc`","non-numeric","400/404 (không 500)","","","Reservation"
"Test","TC-CRES-035 - Cancel","TC-CRES-035","Reservation","Cancel","High","Critical","Phiếu PENDING của customer","DELETE /:id","Bearer","200, status CANCELLED, hoàn cọc về ví (nếu có)","","","Reservation"
"Test","TC-CRES-036 - Cancel/used","TC-CRES-036","Reservation","Cancel/used","High","High","Phiếu CHECKED_IN","DELETE /:id","Bearer","400 ""Phiếu đã được sử dụng, không thể hủy""","","","Reservation"
"Test","TC-CRES-037 - Cancel/completed","TC-CRES-037","Reservation","Cancel/completed","High","High","Phiếu COMPLETED","DELETE /:id","Bearer","400 không thể hủy","","","Reservation"
"Test","TC-CRES-038 - Cancel/idempotent","TC-CRES-038","Reservation","Cancel/idempotent","Medium","Medium","Phiếu đã CANCELLED","DELETE /:id lần nữa","Bearer","200, trả nguyên trạng (không hoàn cọc lần 2)","","","Reservation"
"Test","TC-CRES-039 - Cancel/permission","TC-CRES-039","Reservation","Cancel/permission","High","Critical","Phiếu của B","DELETE /:id","A token","404 (không hủy được phiếu người khác)","","","Reservation"
"Test","TC-CRES-040 - Cancel/verified","TC-CRES-040","Reservation","Cancel/verified","High","High","**chưa** verified email","DELETE /:id","Bearer","403 (requireVerifiedEmail)","","","Reservation"
"Test","TC-CRES-041 - Cancel/refund-race","TC-CRES-041","Reservation","Cancel/refund-race","Medium","High","Phiếu có cọc","Double-click Hủy","2 request","⚠️ASSUMED: cần đảm bảo hoàn cọc **1 lần** (không double refund). Kiểm tra, ghi nhận","","","Reservation"
"Test","TC-CRES-042 - UI","TC-CRES-042","Reservation","UI","Low","Low","—","Xem list rỗng","—","Empty state ""Chưa có đặt bàn""; loading state khi tải","","","Reservation"
"Test","TC-CRES-043 - 401","TC-CRES-043","Reservation","401","High","High","—","Mọi endpoint không token","—","401","","","Reservation"
"Test","TC-CRES-044 - 500","TC-CRES-044","Reservation","500","Medium","High","DB down","POST /","—","500 message chung, không lộ SQL","","","Reservation"
"Test","TC-CRES-045 - SQLi","TC-CRES-045","Reservation","SQLi","High","Critical","verified","note = `'); DROP TABLE reservations;--`","như bên","Parametrized, không thực thi","","","Reservation"
"Test","TC-CRES-046 - XSS","TC-CRES-046","Reservation","XSS","Medium","Medium","verified","note chứa `<script>`","như bên","Lưu literal; internal hiển thị escape","","","Reservation"
"Test","TC-PUB-001 - List companies","TC-PUB-001","Public","List companies","High","High","Có công ty ACTIVE","GET /companies","—","200, chỉ công ty ACTIVE, sort theo name","","","Public"
"Test","TC-PUB-002 - List companies","TC-PUB-002","Public","List companies","Medium","Medium","Không có công ty","GET /companies","—","200, mảng rỗng","","","Public"
"Test","TC-PUB-003 - Get company","TC-PUB-003","Public","Get company","High","High","Company ACTIVE tồn tại","GET /companies/:id","valid id","200, kèm `branches`","","","Public"
"Test","TC-PUB-004 - Get company","TC-PUB-004","Public","Get company","High","High","Company INACTIVE","GET /companies/:id","inactive id","404 ""Công ty không tồn tại"" (lọc status)","","","Public"
"Test","TC-PUB-005 - Get company","TC-PUB-005","Public","Get company","Medium","Medium","id không tồn tại","GET /companies/999999","—","404","","","Public"
"Test","TC-PUB-006 - Get company","TC-PUB-006","Public","Get company","Medium","Low","id không phải số","GET /companies/abc","—","404/400, không 500","","","Public"
"Test","TC-PUB-007 - List branches","TC-PUB-007","Public","List branches","High","High","Company ACTIVE","GET /companies/:id/branches","—","200, chi nhánh ACTIVE của công ty","","","Public"
"Test","TC-PUB-008 - List branches","TC-PUB-008","Public","List branches","Medium","Medium","Company không tồn tại","GET /companies/:id/branches","—","404 ""Công ty không tồn tại""","","","Public"
"Test","TC-PUB-009 - Get branch","TC-PUB-009","Public","Get branch","High","High","Branch ACTIVE","GET /branches/:id","—","200, kèm company_name","","","Public"
"Test","TC-PUB-010 - Get branch","TC-PUB-010","Public","Get branch","Medium","Medium","Branch INACTIVE","GET /branches/:id","—","404 ""Chi nhánh không tồn tại""","","","Public"
"Test","TC-PUB-011 - Categories","TC-PUB-011","Public","Categories","High","High","Company ACTIVE","GET /companies/:id/categories","—","200, danh mục `status='active'`","","","Public"
"Test","TC-PUB-012 - Menu","TC-PUB-012","Public","Menu","High","High","Company có món","GET /companies/:id/menu","—","200, món gom nhóm theo category, chỉ `status='active'`","","","Public"
"Test","TC-PUB-013 - Menu","TC-PUB-013","Public","Menu","Medium","Medium","Company không có món active","GET /companies/:id/menu","—","200, mảng rỗng","","","Public"
"Test","TC-PUB-014 - Menu item","TC-PUB-014","Public","Menu item","High","High","Món active","GET /menu-items/:id","—","200, chi tiết món (price, vat, is_available)","","","Public"
"Test","TC-PUB-015 - Menu item","TC-PUB-015","Public","Menu item","Medium","Medium","Món inactive","GET /menu-items/:id","—","404 ""Món ăn không tồn tại""","","","Public"
"Test","TC-PUB-016 - Home banners","TC-PUB-016","Public","Home banners","High","Medium","Có banner","GET /home-banners","—","200, banner sort theo type,sort_order,banner_id","","","Public"
"Test","TC-PUB-017 - Home banners","TC-PUB-017","Public","Home banners","Low","Low","Không có banner","GET /home-banners","—","200, mảng rỗng","","","Public"
"Test","TC-PUB-018 - Auth-not-required","TC-PUB-018","Public","Auth-not-required","Medium","Medium","—","Gọi mọi GET public không token","—","200 (không yêu cầu đăng nhập)","","","Public"
"Test","TC-PUB-019 - SQLi","TC-PUB-019","Public","SQLi","High","Critical","—","GET /menu-items/`1 OR 1=1`","như bên","Parametrized, không leak toàn bộ bảng","","","Public"
"Test","TC-PUB-020 - IDOR/cross-company","TC-PUB-020","Public","IDOR/cross-company","Medium","Medium","—","GET /companies/:A/menu với id A","—","Chỉ trả món của company A (không lẫn công ty khác)","","","Public"
"Test","TC-PUB-021 - Perf","TC-PUB-021","Public","Perf","Low","Medium","Menu 1000 món","GET /companies/:id/menu","—","⚠️ASSUMED: không phân trang menu public → response time cần đo; cân nhắc cache/CDN","","","Public"
"Test","TC-PUB-022 - Rate limit","TC-PUB-022","Public","Rate limit","Medium","Medium","—","Spam GET public","flood","⚠️ASSUMED: public không có rate limit riêng → cân nhắc để chống scraping/DoS","","","Public"
"Test","TC-PUB-023 - Cache","TC-PUB-023","Public","Cache","Low","Low","—","Kiểm tra header cache","—","⚠️ASSUMED: nên set Cache-Control cho catalog tĩnh","","","Public"
"Test","TC-PUB-024 - Guest reservation","TC-PUB-024","Public","Guest reservation","High","Critical","Chi nhánh ACTIVE mở cửa","POST /public/reservations","`{branch_id,date,time,guest_count:2,customer_name,customer_phone}`","201 ""Đặt bàn thành công..."", phiếu PENDING customer_id=null","","","Public"
"Test","TC-PUB-025 - Guest/validation","TC-PUB-025","Public","Guest/validation","High","High","—","Thiếu customer_name","bỏ name","400 ""Vui lòng nhập tên khách hàng""","","","Public"
"Test","TC-PUB-026 - Guest/validation","TC-PUB-026","Public","Guest/validation","High","High","—","Thiếu customer_phone","bỏ phone","400 ""Vui lòng nhập số điện thoại""","","","Public"
"Test","TC-PUB-027 - Guest/validation","TC-PUB-027","Public","Guest/validation","Medium","Medium","—","customer_email sai format","`""abc""`","400 ""Email không hợp lệ""","","","Public"
"Test","TC-PUB-028 - Guest/validation","TC-PUB-028","Public","Guest/validation","Low","Low","—","customer_email = """"","rỗng","201 (schema cho phép rỗng)","","","Public"
"Test","TC-PUB-029 - Guest/business","TC-PUB-029","Public","Guest/business","High","Critical","—","Gửi kèm `items:[...]`","có items","400 ""Vui lòng đăng nhập để đặt món trước"" (superRefine)","","","Public"
"Test","TC-PUB-030 - Guest/business","TC-PUB-030","Public","Guest/business","High","High","—","Gửi kèm `pin`","có pin","400 ""Vui lòng đăng nhập để đặt món trước""","","","Public"
"Test","TC-PUB-031 - Guest/branch","TC-PUB-031","Public","Guest/branch","High","High","branch không tồn tại/ngừng HĐ","POST","id lạ","400 ""Chi nhánh không tồn tại hoặc ngừng hoạt động""","","","Public"
"Test","TC-PUB-032 - Guest/open-hours","TC-PUB-032","Public","Guest/open-hours","High","High","mở 10:00–22:00","time 09:00","trước giờ","400 ""Chi nhánh chỉ nhận khách từ...""","","","Public"
"Test","TC-PUB-033 - Guest/date","TC-PUB-033","Public","Guest/date","Medium","Medium","—","date `2026/07/20` sai format","như bên","400 ""Ngày không hợp lệ""","","","Public"
"Test","TC-PUB-034 - Guest/past-date","TC-PUB-034","Public","Guest/past-date","High","High","—","date quá khứ","hôm qua","⚠️ASSUMED: không chặn ngày quá khứ — đề xuất chặn","","","Public"
"Test","TC-PUB-035 - Guest/phone-format","TC-PUB-035","Public","Guest/phone-format","Medium","Medium","—","phone = ""abc""","như bên","⚠️ASSUMED: chỉ min 1, không regex SĐT → chấp nhận. Đề xuất validate","","","Public"
"Test","TC-PUB-036 - Guest/XSS","TC-PUB-036","Public","Guest/XSS","Medium","Medium","—","customer_name `<script>`","như bên","Lưu literal; internal hiển thị escape","","","Public"
"Test","TC-PUB-037 - Guest/SQLi","TC-PUB-037","Public","Guest/SQLi","High","Critical","—","note SQLi","như bên","Parametrized","","","Public"
"Test","TC-PUB-038 - Guest/spam","TC-PUB-038","Public","Guest/spam","Medium","High","—","Spam đặt bàn khách vãng lai","flood cùng phone","⚠️ASSUMED: không rate limit/limit theo phone → có thể spam phiếu ma. Đề xuất chống spam","","","Public"
"Test","TC-PUB-039 - Guest/double-submit","TC-PUB-039","Public","Guest/double-submit","Medium","Medium","—","Double-click","2 request","Có thể tạo 2 phiếu → đề xuất chặn. Ghi nhận","","","Public"
"Test","TC-PAY-001 - Create link","TC-PAY-001","Payment","Create link","High","Critical","verified + có PIN, ví ACTIVE","POST /payment/create","`{amount:100000}`","200, trả `checkoutUrl,qrCode,paymentLinkId,orderCode`; tạo topup PENDING","","","Payment"
"Test","TC-PAY-002 - Create/permission","TC-PAY-002","Payment","Create/permission","High","High","Chưa có PIN","POST /payment/create","Bearer","403 (requirePaymentPin)","","","Payment"
"Test","TC-PAY-003 - Create/permission","TC-PAY-003","Payment","Create/permission","High","High","Chưa verified email","POST /payment/create","Bearer","403 (requireVerifiedEmail)","","","Payment"
"Test","TC-PAY-004 - Create/permission","TC-PAY-004","Payment","Create/permission","High","High","Chưa đăng nhập","POST /payment/create","—","401","","","Payment"
"Test","TC-PAY-005 - Create/validation","TC-PAY-005","Payment","Create/validation","High","High","verified+PIN","amount = 0","`{amount:0}`","400 ""Số tiền nạp phải là số nguyên dương""","","","Payment"
"Test","TC-PAY-006 - Create/validation","TC-PAY-006","Payment","Create/validation","High","High","verified+PIN","amount = -100","âm","400","","","Payment"
"Test","TC-PAY-007 - Create/validation","TC-PAY-007","Payment","Create/validation","Medium","Medium","verified+PIN","amount = 1.5","thập phân","400 (int)","","","Payment"
"Test","TC-PAY-008 - Create/boundary","TC-PAY-008","Payment","Create/boundary","Medium","Medium","verified+PIN","amount vượt `MAX_SAFE_INTEGER`","rất lớn","400 ""phải là số nguyên dương"" (Number.isSafeInteger fail)","","","Payment"
"Test","TC-PAY-009 - Create/validation","TC-PAY-009","Payment","Create/validation","Medium","Low","verified+PIN","returnUrl không phải URL","`""abc""`","400 (url)","","","Payment"
"Test","TC-PAY-010 - Create/wallet","TC-PAY-010","Payment","Create/wallet","High","High","Ví không tồn tại","POST /payment/create","—","404 ""Không tìm thấy ví khách hàng""","","","Payment"
"Test","TC-PAY-011 - Create/wallet","TC-PAY-011","Payment","Create/wallet","High","High","Ví status != ACTIVE","POST /payment/create","—","409 ""Ví khách hàng không hoạt động""","","","Payment"
"Test","TC-PAY-012 - Create/payos-config","TC-PAY-012","Payment","Create/payos-config","Medium","High","Thiếu ENV PayOS","POST /payment/create","—","500 ""Thiếu cấu hình PayOS...""","","","Payment"
"Test","TC-PAY-013 - Create/payos-fail","TC-PAY-013","Payment","Create/payos-fail","Medium","High","PayOS API lỗi","POST /payment/create","—","topup bị đánh dấu FAILED (failPendingTopup); 500 ""Tạo link thanh toán thất bại""","","","Payment"
"Test","TC-PAY-014 - Create/desc","TC-PAY-014","Payment","Create/desc","Low","Low","verified+PIN","description > 25 ký tự","dài","Description bị cắt còn 25 ký tự (PayOS limit)","","","Payment"
